timestamp work_status azimuth elevation radial_distance
-0.014 1.000 0.785 0.616 9339.397 
-0.006 1.000 0.784 0.614 9345.018 
-0.012 1.000 0.785 0.616 9346.892 
-0.018 1.000 0.784 0.616 9348.765 
-0.009 1.000 0.787 0.616 9354.386 
-0.015 1.000 0.784 0.615 9356.259 
-0.007 0.000 0.786 0.616 9361.880 
-0.013 1.000 0.786 0.615 9363.753 
-0.018 0.000 0.786 0.616 9365.626 
-0.010 0.000 0.784 0.616 9371.247 
-0.016 0.000 0.785 0.616 9373.120 
-0.008 1.000 0.785 0.614 9378.741 
-0.013 1.000 0.786 0.615 9380.614 
-0.019 0.000 0.786 0.616 9382.488 
-0.011 1.000 0.784 0.614 9388.108 
-0.017 1.000 0.785 0.614 9389.982 
-0.008 1.000 0.786 0.614 9395.603 
-0.014 1.000 0.784 0.614 9397.476 
-0.006 1.000 0.786 0.615 9403.097 
-0.012 1.000 0.786 0.615 9404.970 
-0.018 1.000 0.787 0.616 9408.717 
-0.009 1.000 0.787 0.614 9412.464 
-0.015 0.000 0.784 0.615 9414.338 
-0.007 1.000 0.786 0.614 9419.958 
-0.013 1.000 0.786 0.616 9421.831 
-0.018 1.000 0.784 0.616 9425.578 
-0.010 1.000 0.786 0.615 9429.325 
-0.016 1.000 0.786 0.617 9433.072 
-0.008 1.000 0.784 0.617 9436.819 
-0.013 0.000 0.784 0.615 9440.566 
-0.019 1.000 0.785 0.614 9442.440 
-0.011 1.000 0.786 0.615 9448.061 
-0.017 0.000 0.784 0.614 9449.934 
-0.008 1.000 0.785 0.615 9453.681 
-0.014 1.000 0.784 0.616 9457.428 
-0.006 1.000 0.784 0.616 9461.175 
-0.012 1.000 0.784 0.616 9464.922 
-0.018 1.000 0.784 0.616 9466.796 
-0.009 0.000 0.786 0.614 9472.416 
-0.015 0.000 0.786 0.616 9474.289 
-0.007 0.000 0.784 0.617 9479.910 
-0.012 0.000 0.786 0.615 9481.783 
-0.018 1.000 0.786 0.616 9483.657 
-0.010 1.000 0.784 0.617 9489.277 
-0.016 0.000 0.786 0.616 9491.151 
-0.007 1.000 0.786 0.615 9496.771 
-0.013 1.000 0.786 0.616 9498.645 
-0.019 1.000 0.786 0.615 9500.519 
-0.011 1.000 0.786 0.617 9506.139 
-0.017 0.000 0.784 0.614 9508.013 
-0.008 1.000 0.787 0.616 9513.633 
-0.014 1.000 0.785 0.614 9515.507 
-0.006 1.000 0.785 0.615 9521.127 
-0.012 1.000 0.785 0.617 9523.000 
-0.017 1.000 0.785 0.615 9524.874 
-0.009 1.000 0.785 0.615 9530.494 
-0.015 1.000 0.786 0.617 9532.368 
-0.007 1.000 0.785 0.616 9537.988 
-0.012 1.000 0.784 0.615 9539.862 
-0.018 1.000 0.787 0.616 9543.609 
-0.010 1.000 0.785 0.617 9547.355 
-0.016 1.000 0.784 0.616 9551.103 
-0.007 1.000 0.784 0.617 9554.850 
-0.013 1.000 0.785 0.616 9556.724 
-0.019 1.000 0.786 0.617 9560.471 
-0.011 1.000 0.784 0.617 9564.218 
-0.017 1.000 0.784 0.615 9567.965 
-0.008 1.000 0.786 0.617 9571.712 
-0.014 1.000 0.785 0.615 9575.458 
-0.006 1.000 0.784 0.617 9579.205 
-0.012 1.000 0.787 0.615 9582.952 
-0.017 0.000 0.786 0.615 9584.826 
-0.009 1.000 0.785 0.614 9590.446 
-0.015 1.000 0.787 0.615 9592.320 
-0.006 1.000 0.784 0.616 9596.067 
-0.012 1.000 0.786 0.616 9599.813 
-0.018 1.000 0.785 0.616 9601.688 
-0.010 1.000 0.785 0.616 9607.308 
-0.016 1.000 0.784 0.615 9609.182 
-0.007 1.000 0.784 0.615 9614.802 
-0.013 1.000 0.787 0.615 9616.676 
-0.019 1.000 0.787 0.616 9618.549 
-0.011 1.000 0.786 0.615 9624.170 
-0.016 1.000 0.786 0.615 9626.043 
-0.008 0.000 0.786 0.615 9631.663 
-0.014 1.000 0.786 0.615 9633.537 
-0.006 1.000 0.786 0.617 9639.157 
-0.011 1.000 0.784 0.616 9641.031 
-0.017 1.000 0.787 0.615 9642.904 
-0.009 1.000 0.786 0.616 9648.525 
-0.015 0.000 0.784 0.614 9650.398 
-0.006 1.000 0.785 0.616 9656.019 
-0.012 1.000 0.784 0.615 9657.893 
-0.018 0.000 0.784 0.616 9659.766 
-0.010 0.000 0.785 0.616 9665.387 
-0.016 1.000 0.784 0.615 9667.260 
-0.007 1.000 0.784 0.616 9672.881 
-0.013 1.000 0.786 0.616 9674.754 
-0.019 0.000 0.786 0.614 9678.501 
-0.011 1.000 0.787 0.614 9682.248 
-0.016 0.000 0.785 0.615 9685.995 
-0.008 0.000 0.785 0.615 9689.742 
-0.014 1.000 0.786 0.616 9693.489 
-0.006 0.000 0.784 0.616 9697.236 
-0.011 1.000 0.785 0.617 9699.109 
-0.017 1.000 0.786 0.616 9702.856 
-0.009 1.000 0.787 0.617 9706.604 
-0.015 1.000 0.786 0.614 9710.351 
-0.006 1.000 0.785 0.615 9714.098 
-0.012 1.000 0.786 0.617 9717.845 
-0.018 1.000 0.786 0.616 9719.718 
-0.010 1.000 0.787 0.614 9725.339 
-0.015 1.000 0.784 0.615 9727.212 
-0.007 1.000 0.784 0.615 9730.959 
-0.013 1.000 0.784 0.616 9734.706 
-0.019 1.000 0.786 0.615 9736.579 
-0.010 1.000 0.785 0.616 9742.200 
-0.016 1.000 0.785 0.616 9744.073 
-0.008 1.000 0.785 0.614 9749.694 
-0.014 1.000 0.785 0.615 9751.567 
-0.005 1.000 0.785 0.616 9757.188 
-0.011 1.000 0.786 0.617 9759.062 
-0.017 0.000 0.785 0.615 9760.935 
-0.009 1.000 0.787 0.616 9766.556 
-0.015 1.000 0.785 0.617 9768.429 
-0.006 0.000 0.784 0.616 9774.050 
-0.012 1.000 0.784 0.616 9775.923 
-0.018 0.000 0.787 0.617 9777.797 
-0.010 1.000 0.786 0.615 9783.417 
-0.015 1.000 0.786 0.614 9785.290 
-0.007 1.000 0.786 0.615 9790.911 
-0.013 0.000 0.785 0.617 9792.784 
-0.019 1.000 0.785 0.615 9796.531 
-0.010 1.000 0.785 0.614 9800.278 
-0.016 1.000 0.785 0.616 9802.152 
-0.008 1.000 0.786 0.615 9807.772 
-0.014 1.000 0.786 0.614 9809.646 
-0.020 1.000 0.784 0.615 9813.393 
-0.011 1.000 0.786 0.615 9817.140 
-0.017 1.000 0.784 0.614 9820.887 
-0.009 1.000 0.786 0.614 9824.634 
-0.014 1.000 0.784 0.614 9828.381 
-0.006 0.000 0.785 0.615 9832.128 
-0.012 1.000 0.786 0.617 9835.875 
-0.018 1.000 0.786 0.616 9837.748 
-0.009 1.000 0.784 0.615 9841.495 
-0.015 1.000 0.785 0.617 9845.242 
-0.007 0.000 0.787 0.615 9848.989 
-0.013 0.000 0.787 0.615 9852.736 
-0.019 0.000 0.785 0.615 9854.610 
-0.010 1.000 0.786 0.614 9860.230 
-0.016 1.000 0.784 0.617 9862.104 
-0.008 1.000 0.786 0.616 9867.725 
-0.014 1.000 0.784 0.617 9869.598 
-0.019 1.000 0.787 0.616 9871.472 
-0.011 1.000 0.785 0.616 9877.092 
-0.017 1.000 0.787 0.615 9878.966 
-0.009 0.000 0.786 0.615 9884.586 
-0.014 1.000 0.787 0.616 9886.459 
-0.006 0.000 0.784 0.614 9892.080 
-0.012 1.000 0.785 0.614 9893.953 
-0.018 1.000 0.786 0.616 9895.827 
-0.009 1.000 0.786 0.614 9901.447 
-0.015 1.000 0.784 0.614 9903.321 
-0.007 1.000 0.786 0.616 9908.941 
-0.013 1.000 0.786 0.615 9910.815 
-0.019 1.000 0.786 0.615 9912.688 
-0.010 0.000 0.786 0.617 9918.309 
-0.016 1.000 0.787 0.614 9920.183 
-0.008 1.000 0.785 0.617 9925.803 
-0.014 1.000 0.784 0.615 9927.677 
-0.019 1.000 0.784 0.616 9931.424 
-0.011 1.000 0.785 0.614 9935.171 
-0.017 1.000 0.787 0.617 9938.917 
-0.008 1.000 0.785 0.617 9942.664 
-0.014 1.000 0.785 0.614 9944.538 
-0.006 1.000 0.784 0.617 9950.158 
-0.012 1.000 0.786 0.616 9952.032 
-0.018 1.000 0.786 0.615 9955.779 
-0.009 1.000 0.784 0.614 9959.526 
-0.015 1.000 0.786 0.616 9963.272 
-0.007 1.000 0.785 0.617 9967.020 
-0.013 1.000 0.785 0.614 9970.767 
-0.018 1.000 0.787 0.614 9972.641 
-0.010 1.000 0.785 0.616 9976.388 
-0.016 1.000 0.785 0.616 9980.135 
-0.008 1.000 0.787 0.616 9983.882 
-0.013 1.000 0.784 0.614 9987.629 
-0.019 1.000 0.786 0.614 9989.502 
-0.011 1.000 0.786 0.616 9995.122 
-0.017 0.000 0.787 0.615 9996.996 
-0.008 1.000 0.786 0.614 10002.616 
-0.014 1.000 0.786 0.617 10004.490 
-0.006 1.000 0.786 0.614 10010.110 
-0.012 0.000 0.785 0.617 10011.984 
-0.018 1.000 0.786 0.617 10013.857 
-0.009 0.000 0.787 0.615 10019.478 
-0.015 1.000 0.784 0.616 10021.352 
-0.007 1.000 0.786 0.614 10026.972 
-0.013 1.000 0.784 0.616 10028.846 
-0.018 1.000 0.784 0.615 10030.719 
-0.010 1.000 0.786 0.615 10036.340 
-0.016 1.000 0.787 0.616 10038.213 
-0.008 1.000 0.785 0.615 10043.833 
-0.013 0.000 0.785 0.615 10045.707 
-0.019 1.000 0.786 0.616 10047.580 
-0.011 1.000 0.786 0.616 10053.201 
-0.017 1.000 0.786 0.614 10055.074 
-0.008 1.000 0.786 0.615 10060.695 
-0.014 1.000 0.786 0.616 10062.568 
-0.006 1.000 0.784 0.616 10068.188 
-0.012 1.000 0.786 0.617 10070.062 
-0.017 0.000 0.784 0.614 10073.810 
-0.009 1.000 0.786 0.616 10077.557 
-0.015 1.000 0.786 0.615 10081.304 
-0.007 1.000 0.785 0.614 10085.051 
-0.012 1.000 0.786 0.616 10086.924 
-0.018 1.000 0.786 0.615 10090.671 
-0.010 1.000 0.785 0.614 10094.418 
-0.016 1.000 0.784 0.616 10098.165 
-0.007 1.000 0.786 0.615 10101.912 
-0.013 1.000 0.787 0.616 10105.659 
-0.019 1.000 0.786 0.614 10107.532 
-0.011 1.000 0.785 0.617 10113.153 
-0.017 1.000 0.787 0.615 10115.026 
-0.008 1.000 0.784 0.617 10118.773 
-0.014 1.000 0.784 0.617 10122.521 
-0.006 1.000 0.784 0.616 10126.268 
-0.012 0.000 0.786 0.617 10130.015 
-0.017 1.000 0.786 0.617 10131.888 
-0.009 1.000 0.785 0.615 10137.509 
-0.015 0.000 0.787 0.615 10139.382 
-0.007 1.000 0.784 0.614 10145.003 
-0.012 1.000 0.785 0.614 10146.876 
-0.018 1.000 0.786 0.615 10148.749 
-0.010 1.000 0.784 0.615 10154.370 
-0.016 1.000 0.785 0.616 10156.243 
-0.007 1.000 0.785 0.615 10161.864 
-0.013 1.000 0.787 0.614 10163.737 
-0.019 1.000 0.786 0.614 10165.611 
-0.011 1.000 0.787 0.614 10171.231 
-0.016 0.000 0.784 0.617 10173.104 
-0.008 0.000 0.784 0.614 10178.726 
-0.014 1.000 0.784 0.614 10180.599 
-0.006 1.000 0.786 0.615 10186.220 
-0.011 1.000 0.786 0.615 10188.093 
-0.017 1.000 0.785 0.615 10189.967 
-0.009 1.000 0.785 0.615 10195.587 
-0.015 1.000 0.787 0.615 10197.460 
-0.006 1.000 0.784 0.614 10203.081 
-0.012 1.000 0.786 0.616 10204.954 
-0.018 1.000 0.786 0.615 10208.701 
-0.010 1.000 0.785 0.614 10212.448 
-0.016 1.000 0.787 0.615 10216.195 
-0.007 1.000 0.786 0.615 10219.942 
-0.013 1.000 0.785 0.614 10221.816 
-0.019 1.000 0.784 0.614 10225.562 
-0.011 1.000 0.786 0.616 10229.310 
-0.016 0.000 0.784 0.616 10233.057 
-0.008 0.000 0.784 0.614 10236.804 
-0.014 1.000 0.786 0.617 10240.551 
-0.006 1.000 0.786 0.616 10244.298 
-0.011 0.000 0.786 0.615 10248.045 
-0.017 1.000 0.786 0.616 10249.918 
-0.009 1.000 0.785 0.616 10255.539 
-0.015 1.000 0.787 0.615 10257.412 
-0.006 1.000 0.786 0.615 10261.159 
-0.012 1.000 0.786 0.615 10264.906 
-0.018 1.000 0.784 0.615 10266.780 
-0.010 1.000 0.787 0.616 10272.400 
-0.016 1.000 0.786 0.616 10274.274 
-0.007 1.000 0.787 0.617 10279.895 
-0.013 1.000 0.784 0.615 10281.768 
-0.019 1.000 0.784 0.617 10283.642 
-0.010 1.000 0.784 0.614 10289.262 
-0.016 1.000 0.785 0.614 10291.136 
-0.008 0.000 0.785 0.616 10296.756 
-0.014 1.000 0.786 0.615 10298.630 
-0.005 1.000 0.786 0.616 10304.250 
-0.011 0.000 0.785 0.616 10306.123 
-0.017 1.000 0.787 0.616 10307.997 
-0.009 0.000 0.786 0.614 10313.617 
-0.015 1.000 0.786 0.616 10315.491 
-0.006 1.000 0.786 0.616 10321.111 
-0.012 1.000 0.784 0.616 10322.985 
-0.018 1.000 0.786 0.616 10326.732 
-0.010 1.000 0.785 0.617 10330.479 
-0.015 1.000 0.786 0.616 10332.353 
-0.007 0.000 0.787 0.617 10337.973 
-0.013 1.000 0.784 0.614 10339.847 
-0.019 1.000 0.784 0.614 10343.594 
-0.010 1.000 0.786 0.616 10347.341 
-0.016 1.000 0.785 0.615 10351.088 
-0.008 1.000 0.787 0.616 10354.834 
-0.014 0.000 0.784 0.615 10358.581 
-0.005 1.000 0.787 0.616 10362.328 
-0.011 1.000 0.785 0.616 10364.202 
-0.017 1.000 0.785 0.615 10367.949 
-0.009 1.000 0.785 0.617 10371.696 
-0.015 1.000 0.787 0.616 10375.443 
-0.006 1.000 0.785 0.616 10379.190 
-0.012 1.000 0.787 0.616 10382.937 
-0.018 1.000 0.785 0.614 10384.811 
-0.009 1.000 0.785 0.616 10390.431 
